,Unnamed: 0,Unnamed: 0.1,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
208,208,208,8,7,5,83.2,73.19,0.16,12.1,"Rain, Partially cloudy",19
209,209,209,8,8,2,81.3,75.54,0.05,11.0,"Rain, Overcast",8
210,210,210,8,9,2,79.9,79.65,0.21,12.7,"Rain, Overcast",6
211,211,211,8,11,5,81.9,71.03,0.0,10.9,Partially cloudy,20
212,212,212,8,12,3,83.0,70.08,0.0,12.1,Partially cloudy,11
213,213,213,8,13,4,81.1,71.6,0.03,9.2,"Rain, Partially cloudy",9
214,214,214,8,14,11,82.3,66.64,0.0,9.7,Partially cloudy,37
215,215,215,8,15,5,82.6,63.58,0.0,11.0,Partially cloudy,21
216,216,216,8,16,4,81.3,71.8,0.0,9.9,Partially cloudy,14
217,217,217,8,17,4,83.1,66.51,0.01,9.9,"Rain, Partially cloudy",14
218,218,218,8,18,3,81.2,71.41,0.08,14.4,"Rain, Partially cloudy",9
219,219,219,8,19,8,78.8,78.63,0.44,9.7,"Rain, Partially cloudy",27
220,220,220,8,20,7,78.8,80.45,0.02,11.0,"Rain, Partially cloudy",29
221,221,221,8,21,10,78.4,83.01,0.36,13.9,"Rain, Partially cloudy",37
222,222,222,8,22,3,79.1,68.9,0.0,10.3,Partially cloudy,12
223,223,223,8,23,5,80.9,63.05,0.0,8.1,Partially cloudy,19
224,224,224,8,24,3,77.7,83.42,1.05,13.5,"Rain, Partially cloudy",11
225,225,225,8,26,9,83.4,65.76,0.01,8.1,"Rain, Partially cloudy",30
226,226,226,8,27,12,82.7,67.3,0.0,13.3,Partially cloudy,40
227,227,227,8,28,4,82.1,68.14,0.0,10.9,Partially cloudy,14
228,228,228,8,29,5,81.5,63.36,0.0,12.8,Partially cloudy,21
229,229,229,8,30,7,80.7,64.33,0.0,13.9,Clear,23
230,230,230,8,31,3,81.6,63.31,0.0,10.3,Clear,12
231,231,231,9,1,6,80.6,70.03,0.65,8.1,"Rain, Partially cloudy",21
232,232,232,9,2,3,76.0,79.55,1.16,14.5,"Rain, Overcast",11
233,233,233,9,3,8,74.2,62.36,0.0,8.1,Partially cloudy,28
234,234,234,9,4,5,75.9,66.62,0.0,11.5,Partially cloudy,17
235,235,235,9,5,6,77.1,65.16,0.0,6.4,Clear,24
