,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
254,9,11,34,80.6,63.1,0.0,10.3,Partially cloudy,113
255,9,12,40,78.1,73.28,0.14,13.8,"Rain, Partially cloudy",137
256,9,13,43,77.3,71.26,0.0,11.4,Partially cloudy,148
257,9,14,32,80.0,63.49,0.0,12.1,Clear,109
258,9,15,35,80.6,59.51,0.0,9.2,Clear,118
259,9,16,50,79.1,62.05,0.0,12.1,Clear,167
260,9,17,50,77.5,64.78,0.0,10.3,Partially cloudy,170
261,9,18,51,74.5,87.4,0.67,11.0,"Rain, Overcast",168
262,9,19,39,77.2,76.35,0.0,11.8,Partially cloudy,133
263,9,20,30,77.7,67.0,0.0,8.6,Partially cloudy,103
264,9,21,33,78.6,64.96,0.0,9.3,Partially cloudy,109
265,9,22,34,78.2,64.29,0.0,11.0,Clear,111
266,9,23,30,78.2,67.19,0.0,8.0,Clear,105
267,9,24,31,79.7,63.7,0.0,5.3,Clear,106
268,9,25,31,79.4,63.18,0.0,6.4,Clear,111
269,9,26,35,78.3,64.6,0.0,8.6,Partially cloudy,117
270,9,27,40,75.9,73.99,0.71,8.1,"Rain, Partially cloudy",130
271,9,28,34,74.3,63.51,0.01,12.1,Rain,114
272,9,29,30,67.1,55.89,0.0,12.6,Clear,105
273,9,30,34,62.7,61.48,0.0,8.6,Clear,114
274,10,1,33,65.0,62.65,0.0,9.7,Clear,113
275,10,2,50,67.9,63.89,0.0,8.6,Partially cloudy,177
276,10,3,45,71.2,61.92,0.0,6.9,Partially cloudy,150
277,10,4,34,73.2,63.29,0.0,16.1,Partially cloudy,114
278,10,5,40,71.0,57.34,0.0,18.5,Clear,133
279,10,6,39,69.8,66.0,0.0,15.0,Clear,124
280,10,7,28,70.5,77.73,0.09,13.8,"Rain, Overcast",94
281,10,8,40,74.8,63.24,0.0,21.4,Partially cloudy,135
282,10,9,36,66.8,40.1,0.0,12.1,Clear,118
283,10,10,32,63.0,50.15,0.0,9.2,Clear,105
284,10,11,36,60.7,56.45,0.0,11.5,Clear,127
285,10,12,35,60.4,61.43,0.0,9.2,Clear,116
286,10,13,35,66.5,61.09,0.0,10.4,Clear,121
287,10,14,27,67.6,64.67,0.0,9.2,Partially cloudy,93
288,10,15,39,69.1,72.72,0.0,12.1,Overcast,139
289,10,16,30,70.0,72.85,0.04,8.1,"Rain, Partially cloudy",101
290,10,17,42,69.9,69.08,0.0,8.1,Clear,140
291,10,18,23,71.3,69.43,0.0,9.7,Clear,80
292,10,19,34,74.3,63.47,0.0,6.9,Partially cloudy,104
293,10,20,29,73.5,63.11,0.0,7.5,Partially cloudy,93
294,10,21,37,64.4,56.44,0.0,23.6,Partially cloudy,132
295,10,22,30,55.2,51.24,0.0,20.1,Clear,97
296,10,23,26,57.5,49.2,0.0,6.9,Clear,86
297,10,24,30,62.7,50.02,0.0,15.0,Partially cloudy,99
298,10,25,30,63.0,52.67,0.0,9.2,Clear,102
299,10,26,34,62.4,62.83,0.0,9.7,Partially cloudy,114
300,10,27,26,67.7,65.25,0.0,11.0,Partially cloudy,82
301,10,28,19,68.8,64.42,0.0,9.2,Clear,62
302,10,29,38,67.9,60.69,0.0,5.7,Clear,128
303,10,30,25,68.8,59.29,0.0,9.7,Clear,83
304,10,31,28,69.6,56.54,0.0,6.4,Clear,96
305,11,1,35,68.5,62.36,0.0,11.4,Partially cloudy,117
306,11,2,34,67.4,79.43,0.0,7.5,Partially cloudy,122
307,11,3,34,69.6,66.64,0.0,11.0,Partially cloudy,117
308,11,4,27,69.9,53.28,0.0,13.3,Clear,91
309,11,5,31,59.3,56.33,0.0,8.6,Clear,104
310,11,6,26,58.4,56.35,0.0,6.4,Partially cloudy,92
311,11,7,24,58.1,51.23,0.0,11.5,Partially cloudy,84
312,11,8,18,55.3,55.23,0.0,6.4,Partially cloudy,66
313,11,9,28,58.2,51.29,0.0,17.4,Partially cloudy,85
314,11,10,20,53.9,50.74,0.0,7.5,Clear,62
315,11,11,30,54.9,46.63,0.0,14.4,Partially cloudy,101
316,11,12,21,56.7,46.9,0.0,17.9,Partially cloudy,66
317,11,13,28,51.0,58.25,0.0,13.2,Overcast,93
318,11,14,19,50.7,67.27,0.0,9.2,Partially cloudy,66
319,11,15,29,54.1,59.27,0.0,11.0,Clear,103
320,11,16,20,56.5,59.1,0.0,11.0,Clear,65
321,11,17,16,58.8,54.11,0.0,4.0,Clear,56
322,11,18,25,60.2,54.4,0.0,7.5,Clear,85
323,11,19,32,52.7,52.59,0.0,22.5,Clear,111
324,11,20,28,44.6,31.95,0.0,17.2,Clear,91
325,11,21,28,46.5,26.25,0.0,15.0,Clear,99
326,11,22,16,48.6,31.1,0.0,8.6,Partially cloudy,51
327,11,23,20,53.7,52.38,0.0,11.4,Partially cloudy,65
328,11,24,9,61.8,70.16,0.0,9.9,Partially cloudy,29
329,11,25,19,58.9,67.0,0.0,11.5,Partially cloudy,65
330,11,26,40,48.4,57.38,0.0,13.3,Clear,129
331,11,27,29,46.7,52.72,0.0,8.0,Partially cloudy,94
332,11,28,42,57.8,54.34,0.0,20.8,Overcast,140
333,11,29,25,63.9,88.55,2.09,20.1,"Rain, Overcast",84
334,11,30,20,65.5,84.83,0.63,16.1,"Rain, Overcast",69
335,12,1,33,48.2,60.49,0.0,16.1,Clear,108
336,12,2,38,46.4,55.44,0.0,14.4,Clear,128
337,12,3,33,47.2,63.96,0.09,9.2,"Rain, Partially cloudy",108
338,12,4,20,45.5,90.97,0.67,13.3,"Rain, Overcast",70
339,12,5,32,51.8,82.78,0.87,13.8,"Rain, Overcast",105
340,12,6,32,57.1,84.09,0.22,12.7,"Rain, Overcast",101
341,12,7,23,51.1,73.16,0.0,9.2,Partially cloudy,74
342,12,8,42,42.8,56.66,0.0,16.1,Partially cloudy,136
